Domain,Modality,Category,Feature_name
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__mean_pause_duration
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__pause_duration_variability
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__pause_duration_kurtosis
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__pause_duration_skewness
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__pause_duration_max
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__pause_duration_min
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__mean_syllable_duration
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__syllable_duration_variability
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__syllable_duration_kurtosis
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__syllable_duration_skewness
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__syllable_duration_max
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__syllable_duration_min
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__npauses
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__nsyll
Motor speech & Semantic memory,Audio,Speech Timing,Semantic__talking_intervals__speechrate
Motor speech,Audio,Pitch,Semantic__pitch_analysis__pitch_mean
Motor speech,Audio,Pitch,Semantic__pitch_analysis__pitch_stddev
Motor speech,Audio,Pitch,Semantic__pitch_analysis__pitch_kurtosis
Motor speech,Audio,Pitch,Semantic__pitch_analysis__pitch_skewness
Motor speech,Audio,Pitch,Semantic__pitch_analysis__pitch_max
Motor speech,Audio,Pitch,Semantic__pitch_analysis__pitch_min
Lexico-semantics & Semantic memory,Text,Word properties,Semantic__psycholinguistic_objective__mean_log_frq
Lexico-semantics & Semantic memory,Text,Word properties,Semantic__psycholinguistic_objective__std_log_frq
